1,     0.5630,     0.6175,     0.8472,     0.7798
0,         0.3102,         0.6329,         0.4102,         0.7804
1,         0.5139,         0.6416,         0.5574,         0.6700
0,         0.5213,         0.6366,         0.5370,         0.6866
0,         0.2583,         0.6416,         0.2852,         0.6983
0,         0.3269,         0.6496,         0.3380,         0.6681
0,         0.3130,         0.6471,         0.3222,         0.6663
0,         0.2778,         0.6447,         0.2917,         0.6730
1,         0.5750,         0.5817,         0.6787,         0.6292
1,         0.4787,         0.5842,         0.5093,         0.6200
1,         0.4324,         0.5830,         0.4741,         0.6249
0,         0.9194,         0.6299,         0.9537,         0.6946
0,         0.8907,         0.6292,         0.9093,         0.6903
0,         0.8556,         0.6354,         0.8815,         0.6885
